PERMNO,date,VOL,RET,SHROUT
10001,2009-12-31,7231,0.162621,4361
10001,2010-01-29,3104,-0.018932,4361
10001,2010-02-26,1510,-0.000656,4361
10001,2010-03-31,2283,0.020643,4361
10001,2010-04-30,3350,0.124385,6070
10001,2010-05-28,3451,0.004829,6071
10001,2010-06-30,3537,-0.043421,6080
10001,2010-07-30,2858,0.083333,6080
10001,2010-08-31,2595,-0.111263,6073
10001,2010-09-30,1591,0.076560,6073
10001,2010-10-29,1803,0.032815,6074
10001,2010-11-30,12695,-0.118436,7834
10001,2010-12-31,5200,0.052291,7834
10001,2011-01-31,4648,0.028992,7834
10001,2011-02-28,4586,0.022727,7834
10001,2011-03-31,4137,0.072404,7834
10001,2011-04-29,4109,-0.038789,8151
10001,2011-05-31,4979,0.028050,8151
10001,2011-06-30,2472,0.008261,8151
10001,2011-07-29,2860,-0.028139,8151
10001,2011-08-31,5307,-0.013864,8152
10001,2011-09-30,3086,0.005009,8152
10001,2011-10-31,1644,0.005005,8152
10001,2011-11-30,1996,-0.005000,8154
10001,2011-12-30,1804,0.051835,8154
10001,2012-01-31,2697,-0.019702,8154
10001,2012-02-29,2209,0.005005,8154
10001,2012-03-30,2405,0.048760,8154
10001,2012-04-30,2252,-0.015000,8155
10001,2012-05-31,2372,-0.084361,8156
10001,2012-06-29,4594,-0.027325,8156
10001,2012-07-31,2202,0.009406,8156
10001,2012-08-31,4124,-0.012315,8157
10001,2012-09-28,3732,0.000501,8157
10001,2012-10-31,2775,0.012676,8157
10001,2012-11-30,4175,-0.045504,8157
10001,2012-12-31,2934,-0.015231,8157
10001,2013-01-31,4241,0.062701,8157
10001,2013-02-28,2600,0.011651,8157
10001,2013-03-28,3237,0.030684,8157
10001,2013-04-30,4162,0.017157,8390
10001,2013-05-31,6406,-0.000484,8390
10001,2013-06-28,4293,0.006323,8647
10001,2013-07-31,16527,0.016019,10147
10001,2013-08-30,5143,-0.016795,10372
10001,2013-09-30,3366,0.004412,10372
10001,2013-10-31,9384,-0.018137,10372
10001,2013-11-29,27630,-0.134905,10452
10001,2013-12-31,18720,-0.058858,10452
10001,2014-01-31,17688,0.147572,10452
10001,2014-02-28,8720,0.025627,10452
10001,2014-03-31,9696,0.079594,10452
10001,2014-04-30,26677,0.087972,10488
10001,2014-05-30,16897,-0.033486,10488
10001,2014-06-30,10634,0.009056,10488
10001,2014-07-31,31039,0.227230,10488
10001,2014-08-29,19959,-0.121412,10488
10001,2014-09-30,7713,0.050975,10488
10001,2014-10-31,11458,-0.035140,10488
10001,2014-11-28,5047,0.017181,10488
10001,2014-12-31,6425,-0.037826,10488
10002,2009-12-31,5129,0.036101,17634
10002,2010-01-29,7547,0.365854,17634
10002,2010-02-26,5861,0.155612,17634
10002,2010-03-31,5061,0.070640,17639
10002,2010-04-30,5208,0.276289,17639
