PERMNO,date,VOL,RET,SHROUT
10001,2014-12-31,6425,-0.037826,10488
10001,2015-01-30,8901,-0.115245,10488
10001,2015-02-27,5914,0.035897,10488
10001,2015-03-31,5056,-0.000495,10452
10001,2015-04-30,3059,0.011044,10452
10001,2015-05-29,2494,-0.006951,10488
10001,2015-06-30,5485,0.030000,10493
10001,2015-07-31,5723,-0.013107,10493
10001,2015-08-31,7512,-0.111665,10500
10001,2015-09-30,7962,0.003367,10500
10001,2015-10-30,4033,0.001678,10500
10001,2015-11-30,2562,-0.009070,10505
10001,2015-12-31,7599,-0.132151,10505
10001,2016-01-29,4203,0.116779,10505
10001,2016-02-29,3046,-0.055288,10505
10001,2016-03-31,1949,-0.006361,10508
10001,2016-04-29,7573,-0.055698,10512
10001,2016-05-31,5579,-0.021918,10512
10001,2016-06-30,5332,-0.021008,10512
10001,2016-07-29,7696,0.026466,10512
10001,2016-08-31,4277,0.036620,10516
10001,2016-09-30,2995,0.042120,10516
10001,2016-10-31,41174,0.619948,10520
10001,2016-11-30,13525,0.012146,10520
10001,2016-12-30,7960,0.010000,10520
10001,2017-01-31,9297,0.007968,10520
10001,2017-02-28,3979,0.000000,10520
10001,2017-03-31,6335,0.009881,10520
10001,2017-04-28,3906,-0.015748,10520
10001,2017-05-31,4401,0.016000,10520
10001,2017-06-30,5909,0.023622,10520
10001,2017-07-31,8269,0.001934,10520
10001,2017-08-31,7035,,10520
10025,2014-12-31,4223,0.300022,5081
10025,2015-01-30,4862,-0.138263,5083
10025,2015-02-27,3410,0.010976,5083
10025,2015-03-31,3667,0.086459,5083
10025,2015-04-30,2307,-0.089753,5103
10025,2015-05-29,1819,-0.001397,5103
10025,2015-06-30,2564,0.103338,5103
10025,2015-07-31,8948,-0.124094,5103
10025,2015-08-31,6394,0.126163,5103
10025,2015-09-30,9545,0.052893,5103
10025,2015-10-30,12542,0.395430,5103
10025,2015-11-30,9229,0.139750,5103
10025,2015-12-31,6553,-0.153871,5103
10025,2016-01-29,8531,0.100324,5107
10025,2016-02-29,4971,-0.070061,5107
10025,2016-03-31,7778,-0.161479,5107
10025,2016-04-29,3680,-0.062424,5114
10025,2016-05-31,3545,-0.026286,5114
10025,2016-06-30,13829,0.340777,5114
10025,2016-07-29,13106,0.003107,5114
10025,2016-08-31,21907,0.374596,5114
10025,2016-09-30,17756,-0.011121,5114
10025,2016-10-31,8486,0.003932,5114
10025,2016-11-30,7028,0.075764,5114
10025,2016-12-30,5352,-0.014849,5114
10025,2017-01-31,11976,,5114
10026,2014-12-31,13164,0.038839,18678
10026,2015-01-30,15844,-0.097913,18688
10026,2015-02-27,11316,0.031288,18688
10026,2015-03-31,19048,0.058010,18689
10026,2015-04-30,11603,-0.022212,18691
10026,2015-05-29,9415,0.033260,18691
10026,2015-06-30,9095,0.029963,18692
10026,2015-07-31,13666,0.069486,18699
10026,2015-08-31,12475,-0.037175,18699
10026,2015-09-30,14702,0.000527,18676
10026,2015-10-30,13847,0.080327,18676
10026,2015-11-30,14204,-0.049760,18686
10026,2015-12-31,12418,0.003257,18677
