PERMNO,date,VOL,RET,SHROUT
10001,1994-12-30,82,-0.033433,2224
10001,1995-01-31,272,-0.031250,2224
10001,1995-02-28,213,-0.026210,2224
10001,1995-03-31,82,0.006377,2244
10001,1995-04-28,188,0.000000,2244
10001,1995-05-31,199,0.050000,2244
10001,1995-06-30,282,0.060317,2254
10001,1995-07-31,204,0.000000,2254
10001,1995-08-31,775,-0.030303,2254
10001,1995-09-29,152,0.043750,2280
10001,1995-10-31,585,-0.030303,2280
10001,1995-11-30,126,0.093750,2280
10001,1995-12-29,406,0.082857,2281
10001,1996-01-31,168,-0.026667,2281
10001,1996-02-29,524,0.013699,2281
10001,1996-03-29,283,0.036149,2309
10001,1996-04-30,327,-0.070840,2309
10001,1996-05-31,103,-0.021277,2309
10001,1996-06-28,338,-0.060290,2321
10001,1996-07-31,207,0.023438,2321
10001,1996-08-30,507,0.038168,2321
10001,1996-09-30,205,0.041765,2346
10001,1996-10-31,203,-0.028571,2346
10001,1996-11-29,374,0.029412,2346
10001,1996-12-31,380,-0.059429,2357
10001,1997-01-31,257,0.061538,2357
10001,1997-02-28,988,0.000000,2357
10001,1997-03-31,308,0.012174,2357
10001,1997-04-30,351,0.000000,2357
10001,1997-05-30,363,0.000000,2357
10001,1997-06-30,401,-0.030725,2357
10001,1997-07-31,486,0.045455,2357
10001,1997-08-29,358,0.014493,2357
10001,1997-09-30,693,0.026857,2378
10001,1997-10-31,677,0.000000,2378
10001,1997-11-28,175,-0.014085,2378
10001,1997-12-31,1119,0.041143,2395
10001,1998-01-30,684,0.000000,2395
10001,1998-02-27,141,-0.006944,2395
10001,1998-03-31,773,-0.008671,2401
10001,1998-04-30,384,0.007143,2401
10001,1998-05-29,396,-0.014184,2401
10001,1998-06-30,1171,0.006043,2403
10001,1998-07-31,790,0.014493,2403
10001,1998-08-31,459,0.000000,2403
10001,1998-09-30,418,0.070286,2407
10001,1998-10-30,313,0.000000,2407
10001,1998-11-30,434,0.020270,2407
10001,1998-12-31,807,0.032053,2421
10001,1999-01-29,318,0.000000,2421
10001,1999-02-26,346,-0.090909,2421
10001,1999-03-31,747,0.013143,2421
10001,1999-04-30,892,0.014286,2421
10001,1999-05-28,582,-0.021127,2421
10001,1999-06-30,376,0.006619,2450
10001,1999-07-30,684,0.021739,2450
10001,1999-08-31,474,-0.007092,2450
10001,1999-09-30,746,-0.072000,2450
10001,1999-10-29,358,0.085938,2450
10001,1999-11-30,452,-0.003597,2450
10001,1999-12-31,325,-0.004188,2450
10002,1994-12-30,13,0.055600,2999
10002,1995-01-31,34,0.000000,2999
10002,1995-02-28,53,0.000000,2999
10002,1995-03-31,28,-0.022476,2999
10002,1995-04-28,125,0.019608,2999
10002,1995-05-31,40,0.038462,2999
10002,1995-06-30,51,-0.031111,2999
10002,1995-07-31,22,0.000000,2999
10002,1995-08-31,34,0.000000,2999
10002,1995-09-29,223,0.121538,2999
10002,1995-10-31,306,-0.137931,2999
10002,1995-11-30,75,0.070000,2999
10002,1995-12-29,48,0.052710,3002
10002,1996-01-31,28,-0.035714,3002
10002,1996-02-29,11,0.027778,3002
10002,1996-03-29,106,0.052252,3002
10002,1996-04-30,16,-0.043103,3002
10002,1996-05-31,52,0.000000,3002
10002,1996-06-28,44,0.007207,3002
10002,1996-07-31,62,-0.031532,3002
10002,1996-08-30,89,0.004651,3002
10002,1996-09-30,31,0.016667,3002
10002,1996-10-31,71,-0.018349,3002
10002,1996-11-29,84,0.000000,3002
10002,1996-12-31,372,-0.020561,3002
10002,1997-01-31,286,0.000000,3002
10002,1997-02-28,113,0.019231,3002
10002,1997-03-31,716,0.139623,4227
10002,1997-04-30,271,-0.075000,4227
10002,1997-05-30,129,0.155963,4227
10002,1997-06-30,311,0.038095,4231
10002,1997-07-31,231,0.092308,4231
10002,1997-08-29,268,0.070423,4231
10002,1997-09-30,114,0.097895,4241
