PERMNO,date,VOL,RET,SHROUT
10001,1989-12-29,178,0.037975,1022
10001,1990-01-31,353,-0.018519,1022
10001,1990-02-28,149,-0.006289,1022
10001,1990-03-30,127,0.012658,1027
10001,1990-04-30,166,0.000000,1027
10001,1990-05-31,279,-0.012658,1027
10001,1990-06-29,105,0.014103,1031
10001,1990-07-31,194,0.025641,1031
10001,1990-08-31,111,-0.050000,1031
10001,1990-09-28,123,0.040789,1044
10001,1990-10-31,64,-0.012821,1044
10001,1990-11-30,206,0.000000,1044
10001,1990-12-31,106,0.001299,1054
10001,1991-01-31,384,0.013158,1054
10001,1991-02-28,245,0.012987,1054
10001,1991-03-28,124,-0.011538,1054
10001,1991-04-30,243,0.039474,1054
10001,1991-05-31,236,0.000000,1054
10001,1991-06-28,255,0.078481,1073
10001,1991-07-31,161,-0.035714,1073
10001,1991-08-30,654,0.135802,1073
10001,1991-09-30,542,0.013043,1073
10001,1991-10-31,366,0.130435,1073
10001,1991-11-29,367,0.134615,1073
10001,1991-12-31,269,-0.006780,1075
10001,1992-01-31,211,-0.051724,1075
10001,1992-02-28,405,-0.200000,1075
10001,1992-03-31,282,0.081818,1075
10001,1992-04-30,119,0.010638,1075
10001,1992-05-29,137,0.010526,1075
10001,1992-06-30,204,-0.007708,1075
10001,1992-07-31,59,0.063830,1075
10001,1992-08-31,157,0.040000,1075
10001,1992-09-30,398,0.165962,1075
10001,1992-10-30,260,-0.025000,1075
10001,1992-11-30,71,-0.017094,1075
10001,1992-12-31,105,-0.015130,1080
10001,1993-01-29,44,0.000000,1080
10001,1993-02-26,23,0.017857,1080
10001,1993-03-31,137,0.011053,1075
10001,1993-04-30,473,0.070175,1075
10001,1993-05-28,126,-0.008197,1075
10001,1993-06-30,987,0.102479,1090
10001,1993-07-30,160,-0.007576,1090
10001,1993-08-31,251,-0.030534,1090
10001,1993-09-30,178,0.066142,1091
10001,1993-10-29,180,0.029851,1091
10001,1993-11-30,112,-0.014493,1091
10001,1993-12-31,581,0.091176,1091
10001,1994-01-31,150,-0.047619,1091
10001,1994-02-28,58,0.000000,1091
10001,1994-03-31,133,-0.004286,1091
10001,1994-04-29,102,-0.144928,1091
10001,1994-05-31,146,0.067797,1091
10001,1994-06-30,234,0.107302,2191
10001,1994-07-29,259,0.072464,2191
10001,1994-08-31,159,-0.027027,2191
10001,1994-09-30,121,0.038333,2211
10001,1994-10-31,117,-0.054054,2211
10001,1994-11-30,111,-0.042857,2211
10001,1994-12-30,82,-0.033433,2224
10002,1989-12-29,586,-0.039216,1175
10002,1990-01-31,51,0.020408,1175
10002,1990-02-28,101,0.020000,1175
10002,1990-03-30,190,0.000000,1175
10002,1990-04-30,426,0.000000,1175
10002,1990-05-31,37,0.000000,1175
10002,1990-06-29,69,0.000000,1175
10002,1990-07-31,128,-0.039216,1175
10002,1990-08-31,48,-0.040816,1175
10002,1990-09-28,281,-0.127660,1175
10002,1990-10-31,48,0.073171,1175
10002,1990-11-30,53,-0.022727,1175
10002,1990-12-31,225,-0.069767,1175
10002,1991-01-31,102,-0.025000,1175
10002,1991-02-28,73,0.000000,1175
10002,1991-03-28,60,0.000000,1175
10002,1991-04-30,91,-0.051282,1175
10002,1991-05-31,103,0.000000,1175
10002,1991-06-28,75,0.000000,1175
10002,1991-07-31,84,0.000000,1175
