group,run_id,runner_stem,artifact_stem,status,row_count,first_month,last_month,metrics_csv,summary_json,result_dir,detail
baseline,mse,,mse,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/mse/sanity_metrics_mse.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/mse/sanity_summary_mse.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/mse,
baseline,medse,,medse,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/medse/sanity_metrics_medse.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/medse/sanity_summary_medse.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/medse,
baseline,madl,,madl,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/madl/sanity_metrics_madl.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/madl/sanity_summary_madl.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/madl,
baseline,gmadl,,gmadl,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/gmadl/sanity_metrics_gmadl.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/gmadl/sanity_summary_gmadl.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/gmadl,
baseline,imadl,,imadl,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/imadl/sanity_metrics_imadl.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/imadl/sanity_summary_imadl.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/imadl,
baseline,hybrid_mul_m1,,hybrid_mul_m1,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/hybrid_mul_m1/sanity_metrics_hybrid_mul_m1.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/hybrid_mul_m1/sanity_summary_hybrid_mul_m1.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/hybrid_mul_m1,
baseline,hybrid_mul_m2,,hybrid_mul_m2,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/hybrid_mul_m2/sanity_metrics_hybrid_mul_m2.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/hybrid_mul_m2/sanity_summary_hybrid_mul_m2.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/baseline/hybrid_mul_m2,
phase15,A1,,hybrid_add_a1,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A1/sanity_metrics_hybrid_add_a1.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A1/sanity_summary_hybrid_add_a1.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A1,
phase15,A2,,hybrid_add_a2,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A2/sanity_metrics_hybrid_add_a2.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A2/sanity_summary_hybrid_add_a2.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A2,
phase15,A3,,hybrid_add_a3,completed,24,1995-01,1996-12,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A3/sanity_metrics_hybrid_add_a3.csv,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A3/sanity_summary_hybrid_add_a3.json,/content/drive/MyDrive/FYP/final_report_all_24m_evidence/results/phase15/A3,
