month,sample_size,mse,medse,r2,long_return,short_return,long_short_return,cumulative_long_short_return
1995-01,7288,169229744.0,1538034.875,-3857926400.0,0.021969176473196256,0.02234730350438808,-0.00037812703119182237,-0.00037812703119177726
1995-02,7341,133972616.0,1558132.0,-5737204224.0,0.02777118947731585,0.01499422788557167,0.012776961591744181,0.012394003245997931
1995-03,7384,160414096.0,1686390.75,-6399540736.0,0.026613801481181087,0.02378891202503415,0.0028248894561469368,0.015253904391233863
1995-04,7415,151663136.0,1571768.125,-5274976768.0,0.04604759071613197,0.007559242907716089,0.03848834780841588,0.054329349777295866
1995-05,7452,154508880.0,1757539.75,-4904307712.0,0.040223880384535275,0.028003069298245694,0.012220811086289581,0.0672141095836547
1995-06,7483,137063008.0,1812507.375,-4541893120.0,0.027776687624467424,0.02009284641437137,0.007683841210096052,0.07541441333886967
1995-07,7495,144023280.0,1799637.0,-4258716672.0,0.00900239011445687,0.016519065357375788,-0.007516675242918918,0.06733087244224722
1995-08,7515,142307904.0,1842908.0,-5941622784.0,0.037443663748987985,0.0583690233152325,-0.020925359566244514,0.044996590160239824
1995-09,7523,173796832.0,1849917.125,-9164497920.0,-0.01410579721762604,-0.0011878254261839917,-0.012917971791442048,0.03149735368639672
1995-10,7554,146554800.0,1740009.5,-6367005184.0,0.04816123247313751,0.010441466072409441,0.037719766400728064,0.0704051929104168
1995-11,7570,157169216.0,1765050.0,-5736185856.0,-0.007213306824176705,0.0033609801705355193,-0.010574286994712224,0.05908642119995178
1995-12,7521,165644560.0,1912549.25,-5290105344.0,0.017798633110150237,0.029385860347528124,-0.011587227237377887,0.04681454617348657
1996-01,7519,175842464.0,1975518.125,-5908314624.0,0.007276094802909109,0.034440087075090775,-0.027163992272181664,0.018378883930822543
1996-02,7509,180918512.0,1997731.75,-7760079872.0,0.019873291312131267,0.027762001163584446,-0.00788870985145318,0.010345188396645666
1996-03,7519,217278928.0,2054825.625,-6296384512.0,0.034564254330888236,0.03602399715930278,-0.0014597428284145453,0.008870344253660623
1996-04,7530,174708592.0,2116101.5,-2995911424.0,0.03366651060790516,0.04066592827975095,-0.006999417671845788,0.001808839337490431
1996-05,7550,231584896.0,2562227.0,-12594053120.0,-0.023715060677273584,0.004086685045640042,-0.027801745722913628,-0.026043195276737707
1996-06,7564,246947312.0,2092952.25,-12332965888.0,-0.07311514135623388,-0.03295424670412197,-0.040160894652111916,-0.06515817190693618
1996-07,7596,199952128.0,2075769.5,-9422647296.0,0.02370860152238935,0.02504090596042488,-0.0013323044380355309,-0.06640366582336588
1996-08,7626,192500224.0,2083514.25,-9219722240.0,0.07450000390977131,0.021929364322657074,0.052570639587114235,-0.017323909419515005
1996-09,7660,210353632.0,2118199.5,-10061334528.0,0.009148813005166262,0.006935947705069187,0.0022128653000970753,-0.015149379597434454
1996-10,7662,202021552.0,2353729.5,-8623975424.0,0.08925759621597648,0.03437596566987252,0.05488163054610396,0.0389008282946004
1996-11,7707,218739232.0,2077190.25,-9524812800.0,-0.022436219843322797,-0.0009261513942498585,-0.02151006844907294,0.016554000366184818
1996-12,7743,240127232.0,2359043.0,-6187272704.0,0.0659400304623091,0.05480651716782185,0.011133513294487252,0.027871817843825974
