loss,cap_tag,runs,sharpe_mean,sharpe_std,sharpe_min,sharpe_max,cumulative_return_mean,avg_long_short_mean,avg_r2_mean,sharpe_cv
adaptive_lambda10,cap05,3,0.493786147860479,0.7617228083604188,-0.0891776822084789,1.3556508434905696,0.06178295477488782,0.0035051579734002524,-2.948879144257969,1.5426168021538877
adaptive_lambda100,cap05,3,0.09545801760356352,0.03427895715457641,0.07023772634727181,0.13448784501094638,0.0021007639047746496,0.0012369744273369725,-0.11153424117300247,0.35909982225837417
adaptive_lambda50,cap05,3,0.27634979275889665,0.15972546252027514,0.1764143427703892,0.4605631983317512,0.08165413935543553,0.004916340394115564,-0.46444808940092724,0.5779829285402387
imadl_gmadl_beta03,cap05,3,-0.034460569993679246,0.13813156292277357,-0.19393536119322244,0.04776115738440351,-0.042426589720057084,-0.00030299882512750334,-303.4623329374525,4.008394607173058
imadl_gmadl_beta05,cap05,3,0.04061636002963757,0.4115588893954695,-0.43020484742520004,0.33193995328998016,-0.013843648314828205,0.0008219747262987964,-320.6779780917697,10.13283536720565
imadl_gmadl_beta07,cap05,3,-0.0019687395665500262,0.274663225709025,-0.25169664372754835,0.2922081416404729,-0.040910872945247645,1.3115620773207609e-05,-643.2474454243978,139.51221907442968
imadl_m2_alpha02,cap05,3,0.17882229131677999,1.1575994643402747,-1.1193341043720433,1.1038153294471817,0.22252532454862906,0.007599393251168998,-0.33357370230886674,6.473462876558333
imadl_m2_alpha03,cap05,3,0.21588220933611066,0.20098639072538374,0.002563671333929211,0.40170542382550767,0.05883524943483339,0.0032602564268764526,-0.43817572461234194,0.9310002493649888
imadl_m2_alpha04,cap05,3,0.3540484845485355,0.06561632592294417,0.2851782982193852,0.4158363710598078,0.0962272401835876,0.005033533615246882,-0.6326153261793984,0.18533146952066396
imadl_m2_alpha05,cap05,3,0.5822429018900811,0.31928719838289277,0.2555615710652148,0.8935828785139771,0.24647126140642203,0.011097622692913684,-0.8335713230901294,0.5483745655746431
imadl_m2_alpha06,cap05,3,0.6895396789022327,0.1684875752207602,0.5223670468190103,0.8593121093448713,0.30417664706124353,0.013026413952489246,-1.137328036957317,0.24434790393643094
imadl_m2_alpha07,cap05,3,0.4023928934807975,0.24658454544577724,0.2414525199176583,0.6862778908606086,0.10362181766823464,0.005477421635229476,-1.387567823131879,0.6127954778543931
imadl_m2_alpha08,cap05,3,0.5683455432337899,0.4130269330674106,0.11817376000322104,0.9298142476457334,0.20706985108612583,0.008726251887657134,-2.1701024870077767,0.7267179939818957
m2_robust_gamma001,cap05,3,0.6919079674207925,0.8258436063122134,-0.21441689309273046,1.4018759612818485,0.17050360144883572,0.006666238907607646,-0.07571821245882247,1.1935743555471536
m2_robust_gamma01,cap05,3,0.7470134633668567,0.3937004769306955,0.37735236335074507,1.1610013149967806,0.27176583033449253,0.01048199567312986,-0.08055621468358569,0.5270326389517159
m2_robust_gamma10,cap05,3,1.004319593331173,0.563764043416321,0.4587301246950669,1.5846513098711177,0.23683498670585737,0.00995824034277906,-0.08184012356731628,0.5613392859800761
