Loss,Sharpe_Mean,Sharpe_Std,Cum_Return_Mean,CV
adaptive_lambda10,0.4938,0.7617,0.0618,1.5426
adaptive_lambda50,0.2763,0.1597,0.0817,0.5780
adaptive_lambda100,0.0955,0.0343,0.0021,0.3591
imadl_gmadl_beta03,-0.0345,0.1381,-0.0424,4.0084
imadl_gmadl_beta05,0.0406,0.4116,-0.0138,10.1328
imadl_gmadl_beta07,-0.0020,0.2747,-0.0409,139.51
imadl_m2_alpha02,0.1788,1.1576,0.2225,6.4735
imadl_m2_alpha03,0.2159,0.2010,0.0588,0.9310
imadl_m2_alpha04,0.3540,0.0656,0.0962,0.1853
imadl_m2_alpha05,0.5822,0.3193,0.2465,0.5484
imadl_m2_alpha06,0.6895,0.1685,0.3042,0.2443
imadl_m2_alpha07,0.4024,0.2466,0.1036,0.6128
imadl_m2_alpha08,0.5683,0.4130,0.2071,0.7267
m2_robust_gamma001,0.6919,0.8258,0.1705,1.1936
m2_robust_gamma01,0.7470,0.3937,0.2718,0.5270
m2_robust_gamma10,1.0043,0.5638,0.2368,0.5613
